service_id,stop_id,arrival,departure
00007_02-01-2025-16.27,71801,172,172
00002_02-01-2025-16.37,60000,0,0
00002_02-01-2025-16.37,71801,157,157
00004_02-01-2025-16.57,60000,0,0
00004_02-01-2025-16.57,71801,157,157
00015_02-01-2025-17.17,60000,0,0
00015_02-01-2025-17.17,71801,157,157
00009_02-01-2025-17.22,60000,0,0
00009_02-01-2025-17.22,71801,172,172
00006_02-01-2025-17.27,60000,0,0
00006_02-01-2025-17.27,71801,199,199
00004_02-01-2025-17.57,60000,0,0
00004_02-01-2025-17.57,71801,157,157
00016_02-01-2025-18.27,60000,0,0
00016_02-01-2025-18.27,71801,177,177
00002_02-01-2025-18.32,60000,0,0
00002_02-01-2025-18.32,71801,157,157
00004_02-01-2025-18.57,60000,0,0
00004_02-01-2025-18.57,71801,157,157
00009_02-01-2025-19.29,60000,0,0
00009_02-01-2025-19.29,71801,172,172
00019_02-01-2025-19.34,60000,0,0
00019_02-01-2025-19.34,71801,201,201
00004_02-01-2025-20.05,60000,0,0
00004_02-01-2025-20.05,71801,157,157
00009_02-01-2025-20.22,60000,0,0
00009_02-01-2025-20.22,71801,172,172
00020_02-01-2025-20.27,60000,0,0
00020_02-01-2025-20.27,71801,201,201
00005_02-01-2025-21.02,60000,0,0
00005_02-01-2025-21.02,71801,172,172
00007_02-01-2025-21.07,60000,0,0
00007_02-01-2025-21.07,71801,172,172
00002_03-01-2025-06.22,60000,0,0
00002_03-01-2025-06.22,71801,157,157
00021_03-01-2025-06.27,60000,0,0
00021_03-01-2025-06.27,71801,178,178
00004_03-01-2025-06.57,60000,0,0
00004_03-01-2025-06.57,71801,157,157
00005_03-01-2025-07.02,60000,0,0
00005_03-01-2025-07.02,71801,172,172
00002_03-01-2025-07.22,60000,0,0
00002_03-01-2025-07.22,71801,157,157
00006_03-01-2025-07.27,60000,0,0
00006_03-01-2025-07.27,71801,199,199
00004_03-01-2025-07.57,60000,0,0
00004_03-01-2025-07.57,71801,157,157
00002_03-01-2025-08.32,60000,0,0
00002_03-01-2025-08.32,71801,157,157
00008_03-01-2025-08.57,60000,0,0
00008_03-01-2025-08.57,71801,164,164
00009_03-01-2025-09.22,60000,0,0
00009_03-01-2025-09.22,71801,172,172
00010_03-01-2025-09.27,60000,0,0
00010_03-01-2025-09.27,71801,194,194
00009_03-01-2025-09.57,60000,0,0
