service_id,duration,capacity_window_1h,time_distance_competitor_-2,price_competitor_-2,time_distance_competitor_-1,price_competitor_-1,time_distance_competitor_1,price_competitor_1,time_distance_competitor_2,price_competitor_2,month_sin,month_cos,day_of_week_sin,day_of_week_cos,train_type_IRYO,train_type_OUIGO,price
00009_02-01-2025-12.22,172.0,839.0,-115.2,53.45,-55.2,60.59,4.8,51.88,34.8,45.75,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,1,0,53.83
00002_02-01-2025-16.37,157.0,1289.0,-40.2,103.74,-10.2,44.88,19.8,145.9,49.8,71.8,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,1,0,37.25
00015_02-01-2025-17.17,157.0,1798.0,-49.8,44.88,-19.8,145.9,10.2,71.8,40.2,68.59,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0,1,43.64
00009_02-01-2025-17.22,172.0,1798.0,-55.2,44.88,-25.2,145.9,4.8,71.8,34.8,68.59,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,1,0,72.86
00002_02-01-2025-18.32,157.0,1289.0,-34.8,68.59,-4.8,60.37,25.2,103.05,62.4,35.71,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,1,0,44.96
00009_02-01-2025-19.29,172.0,1042.0,-61.8,60.37,-31.8,103.05,5.4,35.71,36.0,65.35,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,1,0,48.17
00009_02-01-2025-20.22,172.0,1289.0,-48.0,35.71,-17.4,65.35,4.8,53.96,45.0,72.95,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,1,0,35.82
00005_02-01-2025-21.02,172.0,923.0,-57.0,65.35,-34.8,53.96,5.4,72.95,565.2,22.61,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0,1,32.42
00002_03-01-2025-06.22,157.0,988.0,-595.2,53.96,-555.0,72.95,4.8,22.61,34.8,38.86,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,1,0,17.23
00005_03-01-2025-07.02,172.0,1798.0,-34.8,22.61,-4.8,38.86,25.2,58.58,55.2,40.82,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0,1,59.76
