train_idx,train_type,original_price,optimized_price,difference,predicted_demand,real_demand,capacity
00021_23-08-2025-06.27,AVLO,33.1,83.1,49.99999999999999,3503.4170611342392,581.0,581
00005_23-08-2025-07.02,OUIGO,34.5,34.5,0.0,573.3764347205222,509.0,509
00006_23-08-2025-07.27,AVE,53.64,103.63999999999976,49.99999999999976,5080.467125694425,414.0,414
00009_23-08-2025-08.07,IRYO,28.09,28.09,0.0,3115.6101941566626,461.0,461
00007_23-08-2025-08.27,AVE,47.32,97.31999999999996,49.999999999999964,5638.97695794301,414.0,414
00008_23-08-2025-08.57,AVE,67.84,117.83999999999999,49.999999999999986,5668.797400937631,836.0,836
00009_23-08-2025-09.22,IRYO,20.76,20.76,0.0,3038.477722359823,461.0,461
00010_23-08-2025-09.27,AVE,48.06,98.05999999999987,49.99999999999987,5545.442185263921,414.0,414
00009_23-08-2025-09.57,IRYO,46.73,46.73,0.0,114.41787349378086,114.41787349377347,461
00011_23-08-2025-10.02,OUIGO,42.34,42.34,0.0,300.4671755651694,300.4671755651694,509
00012_23-08-2025-10.27,AVLO,46.5,96.5,50.0,3750.0038082084566,581.0,581
00009_23-08-2025-11.22,IRYO,58.47,58.47,0.0,118.47934707066456,118.47934707066456,461
00006_23-08-2025-11.27,AVE,36.48,86.47999999999999,49.99999999999999,5149.575834505528,803.0,803
00009_23-08-2025-12.22,IRYO,39.93,39.93,0.0,1352.4202757038183,461.0,461
00013_23-08-2025-12.27,AVE,47.73,97.72999999999999,49.99999999999999,6117.601959936827,378.0,378
00014_23-08-2025-13.18,AVE,82.74,132.74,50.000000000000014,4616.420179178785,339.0,339
00015_23-08-2025-14.12,OUIGO,19.04,19.04,0.0,4244.339361262022,509.0,509
00017_23-08-2025-14.42,IRYO,32.5,32.5,0.0,1444.453797361197,461.0,461
00018_23-08-2025-15.27,AVLO,29.5,79.5,50.0,2338.418223861639,547.0,547
00007_23-08-2025-16.27,AVE,96.92,146.92,49.999999999999986,5528.514824473177,414.0,414
00002_23-08-2025-16.37,IRYO,34.38,34.38,0.0,1501.8702420753598,461.0,461
00015_23-08-2025-17.17,OUIGO,15.93,15.93,0.0,3535.7906596165553,509.0,509
00018_23-08-2025-17.27,AVLO,28.11,78.11,50.0,2243.134044585571,581.0,581
00016_23-08-2025-18.27,AVE,86.73,136.73000000000002,50.000000000000014,4533.399085204166,414.0,414
00009_23-08-2025-19.29,IRYO,28.64,28.64,0.0,1120.4741830252642,461.0,461
00019_23-08-2025-19.34,AVLO,28.7,78.7,50.0,1099.4148549397778,581.0,581
00009_23-08-2025-20.22,IRYO,18.4,18.4,0.0,1702.7446120361294,461.0,461
00020_23-08-2025-20.27,AVE,15.06,65.05999999999996,49.99999999999996,3314.4211353643977,414.0,414
00005_23-08-2025-21.02,OUIGO,14.21,14.21,0.0,1768.997068775553,509.0,509
