train_idx,train_type,original_price,optimized_price,difference,predicted_demand,actual_demand,capacity
00021_23-08-2025-06.27,AVLO,33.1,53.1,20.0,547.539474028734,547.539474028734,581
00005_23-08-2025-07.02,OUIGO,34.5,34.5,0.0,498.8528621141222,498.8528621141222,509
00006_23-08-2025-07.27,AVE,53.64,59.24135800087721,5.601358000877212,372.90082295958797,372.90082295958797,414
00009_23-08-2025-08.07,IRYO,28.09,28.09,0.0,438.430412275229,438.430412275229,461
00007_23-08-2025-08.27,AVE,47.32,56.818636101400344,9.498636101400344,348.7438387623139,348.7438387623139,414
00008_23-08-2025-08.57,AVE,67.84,58.29069062583988,-9.549309374160124,427.86217740670304,427.86217740670304,836
00009_23-08-2025-09.22,IRYO,20.76,20.76,0.0,466.92071224984056,461.0,461
00010_23-08-2025-09.27,AVE,48.06,64.36595248542261,16.30595248542261,297.15448779198476,297.15448779198476,414
00009_23-08-2025-09.57,IRYO,46.73,46.73,0.0,402.99080550101326,402.9908055010052,461
00011_23-08-2025-10.02,OUIGO,42.34,42.34,0.0,513.5380852323938,509.0,509
00012_23-08-2025-10.27,AVLO,46.5,40.194898130094124,-6.305101869905876,523.3259207941987,523.3259207942256,581
00009_23-08-2025-11.22,IRYO,58.47,58.47,0.0,339.341032331165,339.341032331165,461
00006_23-08-2025-11.27,AVE,36.48,56.48,20.0,590.4828229255037,590.4828229255037,803
00009_23-08-2025-12.22,IRYO,39.93,39.93,0.0,456.14576943331076,456.1457694333163,461
00013_23-08-2025-12.27,AVE,47.73,65.17996603523248,17.449966035232485,346.215242471174,346.2152424711842,378
00014_23-08-2025-13.18,AVE,82.74,79.708898344343,-3.0311016556569967,339.0,339.0,339
00015_23-08-2025-14.12,OUIGO,19.04,19.04,0.0,491.729695041643,491.72969504163984,509
00017_23-08-2025-14.42,IRYO,32.5,32.5,0.0,452.3607517682441,452.3607517682441,461
00018_23-08-2025-15.27,AVLO,29.5,49.5,20.0,631.5819881411612,547.0,547
00007_23-08-2025-16.27,AVE,96.92,90.26301049576445,-6.656989504235554,414.0,414.0,414
00002_23-08-2025-16.37,IRYO,34.38,34.38,0.0,454.58065908385987,454.58065908385987,461
00015_23-08-2025-17.17,OUIGO,15.93,15.93,0.0,492.1792534504534,492.1792534504534,509
00018_23-08-2025-17.27,AVLO,28.11,48.11,20.0,606.8238845847179,581.0,581
00016_23-08-2025-18.27,AVE,86.73,74.06168261309001,-12.66831738690999,378.6923730225048,378.6923730225048,414
00009_23-08-2025-19.29,IRYO,28.64,28.64,0.0,456.5728738423101,456.5728738423101,461
00019_23-08-2025-19.34,AVLO,28.7,38.747300535926016,10.047300535926016,465.65235827949994,465.65235827949994,581
00009_23-08-2025-20.22,IRYO,18.4,18.4,0.0,444.24952544831467,444.24952544831467,461
00020_23-08-2025-20.27,AVE,15.06,33.24835179333712,18.18835179333712,400.664989041572,400.66498904158107,414
00005_23-08-2025-21.02,OUIGO,14.21,14.21,0.0,481.06026605828265,481.06026605828265,509
