train_idx,train_type,original_price,optimized_price,difference,predicted_demand,actual_demand,capacity
00021_22-03-2025-06.27,AVLO,24.41,34.41,9.999999999999996,516.1674036824992,516.1674036824992,581
00005_22-03-2025-07.02,OUIGO,39.26,39.26,0.0,453.8763528702558,453.8763528702558,509
00006_22-03-2025-07.27,AVE,73.51,81.5577005544184,8.047700554418398,23.650659953292003,23.650659953292003,414
00009_22-03-2025-08.07,IRYO,32.43,32.43,0.0,382.7836283709129,382.7836283709129,461
00007_22-03-2025-08.27,AVE,53.76,44.215402827195405,-9.544597172804593,289.7755426364647,289.7755426364647,414
00008_22-03-2025-08.57,AVE,42.38,44.77705187947589,2.397051879475889,266.9077698680558,266.9077698680558,836
00009_22-03-2025-09.22,IRYO,52.26,52.26,0.0,75.07207303626852,75.07207303626852,461
00010_22-03-2025-09.27,AVE,69.28,59.28,-10.0,92.23423338973961,92.23423338973961,414
00009_22-03-2025-09.57,IRYO,48.85,48.85,0.0,191.20495392551211,191.20495392551211,461
00011_22-03-2025-10.02,OUIGO,40.13,40.13,0.0,247.97345582585115,247.97345582585115,509
00012_22-03-2025-10.27,AVLO,41.52,32.51099777340268,-9.009002226597325,313.24276363114035,313.24276363114035,581
00009_22-03-2025-11.22,IRYO,25.04,25.04,0.0,414.5929556354958,414.5929556354958,461
00006_22-03-2025-11.27,AVE,42.41,44.50183281265777,2.0918328126577705,278.92628542550597,278.92628542550597,803
00009_22-03-2025-12.22,IRYO,26.92,26.92,0.0,413.4957473377957,413.49574733780264,461
00013_22-03-2025-12.27,AVE,60.41,50.41,-10.0,194.97840261465953,194.97840261465953,378
00014_22-03-2025-13.18,AVE,82.74,72.74,-10.0,79.8619458988461,79.8619458988461,339
00015_22-03-2025-14.12,OUIGO,31.15,31.15,0.0,457.50041952188343,457.50041952188343,509
00017_22-03-2025-14.42,IRYO,30.62,30.62,0.0,404.02600404477033,404.02600404477033,461
00018_22-03-2025-15.27,AVLO,27.76,37.760000000000005,10.000000000000004,458.43689097543324,458.43689097543324,547
00007_22-03-2025-16.27,AVE,81.32,71.32,-10.0,253.8606371630092,253.8606371630092,414
00002_22-03-2025-16.37,IRYO,52.76,52.76,0.0,239.31823151889148,239.31823151889148,461
00015_22-03-2025-17.17,OUIGO,10.0,10.0,0.0,492.38691072955066,492.38691072955066,509
00018_22-03-2025-17.27,AVLO,24.91,34.91,9.999999999999996,515.2798398656737,515.2798398656737,581
00016_22-03-2025-18.27,AVE,120.2,111.81385387130751,-8.386146128692488,33.620057647455994,33.620057647455994,414
00009_22-03-2025-19.29,IRYO,33.89,33.89,0.0,355.6146266221748,355.6146266221748,461
00019_22-03-2025-19.34,AVLO,32.92,41.62100457666515,8.701004576665149,349.99800944626145,349.99800944626145,581
00009_22-03-2025-20.22,IRYO,26.56,26.56,0.0,440.7731139894737,440.7731139894737,461
00020_22-03-2025-20.27,AVE,21.07,31.07,10.0,396.9811755581682,396.9811755581682,414
00005_22-03-2025-21.02,OUIGO,16.76,16.76,0.0,482.859908814957,482.859908814957,509
