train_idx,train_type,original_price,optimized_price,difference,predicted_demand,actual_demand,capacity
00001_12-03-2025-06.12,AVLO,35.55,41.54028294252003,5.990282942520032,348.4820259607594,348.4820259607594,581
00002_12-03-2025-06.22,IRYO,19.12,19.12,0.0,428.4836117862672,428.4836117862672,461
00003_12-03-2025-06.27,AVE,51.08,47.2917059599973,-3.7882940400026968,342.90374009519246,342.90374009519405,359
00004_12-03-2025-06.57,AVE,92.74,72.74,-20.0,118.84890355404133,118.84890355404133,414
00005_12-03-2025-07.02,OUIGO,29.34,29.34,0.0,358.03318094495177,358.03318094495177,509
00002_12-03-2025-07.22,IRYO,31.18,31.18,0.0,316.3994026752729,316.3994026752729,461
00006_12-03-2025-07.27,AVE,36.0,33.06705962846856,-2.932940371531437,315.8521760556774,315.8521760556778,414
00004_12-03-2025-07.57,AVE,41.22,36.165731124329405,-5.054268875670594,353.68893180634234,353.68893180634274,414
00007_12-03-2025-08.27,AVE,77.62,70.31265784028518,-7.307342159714821,44.52334327035268,44.52334327035271,414
00002_12-03-2025-08.32,IRYO,28.44,28.44,0.0,277.5213377982867,277.5213377982867,461
00008_12-03-2025-08.57,AVE,51.31,31.310000000000002,-20.0,305.84623511682867,305.84623511682906,414
00009_12-03-2025-09.22,IRYO,34.46,34.46,0.0,107.88833115830752,107.88833115830752,461
00010_12-03-2025-09.27,AVE,67.9,47.9,-20.000000000000007,79.26731819116905,79.26731819116924,414
00009_12-03-2025-09.57,IRYO,35.87,35.87,0.0,121.0513222628734,121.0513222628734,461
00011_12-03-2025-10.02,OUIGO,50.83,50.83,0.0,54.5238676024911,54.5238676024911,509
00012_12-03-2025-10.27,AVLO,45.95,25.95,-20.000000000000004,89.67238305478116,89.67238305478145,581
00009_12-03-2025-11.22,IRYO,33.11,33.11,0.0,201.8504678433508,201.8504678433508,461
00006_12-03-2025-11.27,AVE,39.16,29.721762997079626,-9.43823700292037,426.1274921669348,426.1274921669348,826
00009_12-03-2025-12.22,IRYO,40.36,40.36,0.0,99.6266650872993,99.6266650872993,461
00013_12-03-2025-12.27,AVE,52.53,62.54445122251798,10.014451222517977,35.56772253015782,35.56772253015863,378
00004_12-03-2025-12.57,AVE,49.12,35.985676286987584,-13.134323713012414,322.55418577563546,322.5541857756384,414
00014_12-03-2025-13.18,AVE,48.24,38.16972166626374,-10.070278333736262,307.8853078492234,307.88530784923233,339
00009_12-03-2025-14.02,IRYO,28.45,28.45,0.0,353.64469805886745,353.64469805886745,461
00015_12-03-2025-14.12,OUIGO,43.24,43.24,0.0,65.50952380952381,65.50952380952381,509
00016_12-03-2025-14.27,AVE,45.97,37.98087816426166,-7.989121835738338,247.06867476888578,247.0686747688863,291
00017_12-03-2025-14.42,IRYO,64.65,64.65,0.0,29.599958306862703,29.599958306862693,461
00004_12-03-2025-14.57,AVE,49.33,39.07111789807453,-10.258882101925465,359.1415094515007,359.1415094515029,414
00018_12-03-2025-15.27,AVLO,34.49,24.73322303333225,-9.75677696666775,345.60684561506145,345.6068456150651,571
00004_12-03-2025-15.57,AVE,60.49,46.5645616255176,-13.925438374482404,358.73786443398797,358.7378644339895,414
00007_12-03-2025-16.27,AVE,66.45,50.79850730974189,-15.65149269025811,335.6287316831482,335.6287316831529,414
00002_12-03-2025-16.37,IRYO,64.78,64.78,0.0,59.74571759610591,59.74571759610591,461
00004_12-03-2025-16.57,AVE,137.57,117.57000063868041,-19.99999936131958,14.255732669685479,14.25573266968556,414
00015_12-03-2025-17.17,OUIGO,58.46,58.46,0.0,64.54572306721468,64.54572306721468,509
00009_12-03-2025-17.22,IRYO,36.74,36.74,0.0,353.8803827269459,353.8803827269459,461
00006_12-03-2025-17.27,AVE,52.81,34.698642083804806,-18.111357916195196,399.46940348622184,399.46940348622985,414
00004_12-03-2025-17.57,AVE,50.34,42.38421173529289,-7.955788264707117,343.44702140918025,343.44702140918173,414
00016_12-03-2025-18.27,AVE,83.65,103.65,20.0,8.80506876123372,8.805068761230615,414
00002_12-03-2025-18.32,IRYO,45.2,45.2,0.0,74.23317928079159,74.23317928079159,461
00004_12-03-2025-18.57,AVE,130.18,110.18,-20.0,11.471833841667133,11.471833841667193,414
00009_12-03-2025-19.29,IRYO,42.37,42.37,0.0,33.05228530896072,33.05228530896072,461
00019_12-03-2025-19.34,AVLO,35.13,20.718905742379548,-14.411094257620455,393.13462560598646,393.13462560599305,581
00004_12-03-2025-20.05,AVE,30.77,27.414616927651284,-3.3553830723487152,370.42177588302116,370.4217758830219,414
00009_12-03-2025-20.22,IRYO,32.23,32.23,0.0,58.75351259033372,58.75351259033372,461
00020_12-03-2025-20.27,AVE,48.48,28.479999999999997,-20.0,143.5520825866355,143.55208258663617,414
00005_12-03-2025-21.02,OUIGO,48.02,48.02,0.0,16.394711630870695,16.394711630870695,509
00007_12-03-2025-21.07,AVE,45.4,25.4,-20.0,256.4096462199183,256.4096462199188,414
