trip_id,origin,destination,tsp,train_type,departure,arrival,duration,service_id,BasicSeat
00020,60000,71801,AVE,AVE,2025-01-01 20:27:00,2025-01-01 23:48:00,0 days 03:21:00,00020_01-01-2025-20.27,49.29
00005,60000,71801,OUIGO,OUIGO,2025-01-01 21:02:00,2025-01-01 23:54:00,0 days 02:52:00,00005_01-01-2025-21.02,36.1
00007,60000,71801,AVE,AVE,2025-01-01 21:07:00,2025-01-01 23:59:00,0 days 02:52:00,00007_01-01-2025-21.07,55.9
00001,60000,71801,AVLO,AVLO,2025-01-02 06:12:00,2025-01-02 08:49:00,0 days 02:37:00,00001_02-01-2025-06.12,30.29
00002,60000,71801,IRYO,IRYO,2025-01-02 06:22:00,2025-01-02 08:59:00,0 days 02:37:00,00002_02-01-2025-06.22,50.13
00003,60000,71801,AVE,AVE,2025-01-02 06:27:00,2025-01-02 09:25:00,0 days 02:58:00,00003_02-01-2025-06.27,53.32
00004,60000,71801,AVE,AVE,2025-01-02 06:57:00,2025-01-02 09:34:00,0 days 02:37:00,00004_02-01-2025-06.57,64.48
00005,60000,71801,OUIGO,OUIGO,2025-01-02 07:02:00,2025-01-02 09:54:00,0 days 02:52:00,00005_02-01-2025-07.02,43.57
00002,60000,71801,IRYO,IRYO,2025-01-02 07:22:00,2025-01-02 09:59:00,0 days 02:37:00,00002_02-01-2025-07.22,36.67
00006,60000,71801,AVE,AVE,2025-01-02 07:27:00,2025-01-02 10:46:00,0 days 03:19:00,00006_02-01-2025-07.27,32.35
00004,60000,71801,AVE,AVE,2025-01-02 07:57:00,2025-01-02 10:34:00,0 days 02:37:00,00004_02-01-2025-07.57,36.28
00007,60000,71801,AVE,AVE,2025-01-02 08:27:00,2025-01-02 11:19:00,0 days 02:52:00,00007_02-01-2025-08.27,55.7
00002,60000,71801,IRYO,IRYO,2025-01-02 08:32:00,2025-01-02 11:09:00,0 days 02:37:00,00002_02-01-2025-08.32,39.61
00008,60000,71801,AVE,AVE,2025-01-02 08:57:00,2025-01-02 11:41:00,0 days 02:44:00,00008_02-01-2025-08.57,55.46
00009,60000,71801,IRYO,IRYO,2025-01-02 09:22:00,2025-01-02 12:14:00,0 days 02:52:00,00009_02-01-2025-09.22,60.42
00010,60000,71801,AVE,AVE,2025-01-02 09:27:00,2025-01-02 12:41:00,0 days 03:14:00,00010_02-01-2025-09.27,62.61
00009,60000,71801,IRYO,IRYO,2025-01-02 09:57:00,2025-01-02 12:49:00,0 days 02:52:00,00009_02-01-2025-09.57,69.42
00011,60000,71801,OUIGO,OUIGO,2025-01-02 10:02:00,2025-01-02 13:04:00,0 days 03:02:00,00011_02-01-2025-10.02,48.58
00012,60000,71801,AVLO,AVLO,2025-01-02 10:27:00,2025-01-02 13:19:00,0 days 02:52:00,00012_02-01-2025-10.27,55.21
00009,60000,71801,IRYO,IRYO,2025-01-02 11:22:00,2025-01-02 14:14:00,0 days 02:52:00,00009_02-01-2025-11.22,56.61
00006,60000,71801,AVE,AVE,2025-01-02 11:27:00,2025-01-02 14:46:00,0 days 03:19:00,00006_02-01-2025-11.27,52.04
00009,60000,71801,IRYO,IRYO,2025-01-02 12:22:00,2025-01-02 15:14:00,0 days 02:52:00,00009_02-01-2025-12.22,53.26
00013,60000,71801,AVE,AVE,2025-01-02 12:27:00,2025-01-02 15:44:00,0 days 03:17:00,00013_02-01-2025-12.27,42.32
