trip_id,origin,destination,tsp,train_type,departure,arrival,duration,service_id,capacity,train_model,original_price_scraping,BasicSeat
2,60000,71801,IRYO,IRYO,2025-01-01 18:32:00,2025-01-01 21:09:00,0 days 02:37:00,00002_01-01-2025-18.32,461.0,S-109,35.57,36.09
4,60000,71801,AVE,AVE,2025-01-01 18:57:00,2025-01-01 21:34:00,0 days 02:37:00,00004_01-01-2025-18.57,414.0,S-103,94.9,112.03
9,60000,71801,IRYO,IRYO,2025-01-01 19:29:00,2025-01-01 22:21:00,0 days 02:52:00,00009_01-01-2025-19.29,461.0,S-109,34.77,41.75
19,60000,71801,AVLO,AVLO,2025-01-01 19:34:00,2025-01-01 22:55:00,0 days 03:21:00,00019_01-01-2025-19.34,581.0,S-106,25.0,32.14
4,60000,71801,AVE,AVE,2025-01-01 20:05:00,2025-01-01 22:42:00,0 days 02:37:00,00004_01-01-2025-20.05,414.0,S-103,40.7,48.83
9,60000,71801,IRYO,IRYO,2025-01-01 20:22:00,2025-01-01 23:14:00,0 days 02:52:00,00009_01-01-2025-20.22,461.0,S-109,29.26,32.04
20,60000,71801,AVE,AVE,2025-01-01 20:27:00,2025-01-01 23:48:00,0 days 03:21:00,00020_01-01-2025-20.27,414.0,S-103,34.45,49.29
5,60000,71801,OUIGO,OUIGO,2025-01-01 21:02:00,2025-01-01 23:54:00,0 days 02:52:00,00005_01-01-2025-21.02,509.0,S-108,33.0,36.1
7,60000,71801,AVE,AVE,2025-01-01 21:07:00,2025-01-01 23:59:00,0 days 02:52:00,00007_01-01-2025-21.07,414.0,S-103,45.85,55.9
1,60000,71801,AVLO,AVLO,2025-01-02 06:12:00,2025-01-02 08:49:00,0 days 02:37:00,00001_02-01-2025-06.12,581.0,S-106,25.0,30.29
2,60000,71801,IRYO,IRYO,2025-01-02 06:22:00,2025-01-02 08:59:00,0 days 02:37:00,00002_02-01-2025-06.22,461.0,S-109,29.26,50.13
3,60000,71801,AVE,AVE,2025-01-02 06:27:00,2025-01-02 09:25:00,0 days 02:58:00,00003_02-01-2025-06.27,359.0,S-103,34.45,53.32
4,60000,71801,AVE,AVE,2025-01-02 06:57:00,2025-01-02 09:34:00,0 days 02:37:00,00004_02-01-2025-06.57,414.0,S-103,54.25,64.48
5,60000,71801,OUIGO,OUIGO,2025-01-02 07:02:00,2025-01-02 09:54:00,0 days 02:52:00,00005_02-01-2025-07.02,509.0,S-108,33.0,43.57
2,60000,71801,IRYO,IRYO,2025-01-02 07:22:00,2025-01-02 09:59:00,0 days 02:37:00,00002_02-01-2025-07.22,461.0,S-109,31.04,36.67
6,60000,71801,AVE,AVE,2025-01-02 07:27:00,2025-01-02 10:46:00,0 days 03:19:00,00006_02-01-2025-07.27,414.0,S-103,34.45,32.35
4,60000,71801,AVE,AVE,2025-01-02 07:57:00,2025-01-02 10:34:00,0 days 02:37:00,00004_02-01-2025-07.57,414.0,S-103,40.7,36.28
7,60000,71801,AVE,AVE,2025-01-02 08:27:00,2025-01-02 11:19:00,0 days 02:52:00,00007_02-01-2025-08.27,414.0,S-103,45.95,55.7
2,60000,71801,IRYO,IRYO,2025-01-02 08:32:00,2025-01-02 11:09:00,0 days 02:37:00,00002_02-01-2025-08.32,461.0,S-109,44.01,39.61
8,60000,71801,AVE,AVE,2025-01-02 08:57:00,2025-01-02 11:41:00,0 days 02:44:00,00008_02-01-2025-08.57,414.0,S-103,54.25,55.46
9,60000,71801,IRYO,IRYO,2025-01-02 09:22:00,2025-01-02 12:14:00,0 days 02:52:00,00009_02-01-2025-09.22,461.0,S-109,55.5,60.42
10,60000,71801,AVE,AVE,2025-01-02 09:27:00,2025-01-02 12:41:00,0 days 03:14:00,00010_02-01-2025-09.27,414.0,S-103,45.95,62.61
9,60000,71801,IRYO,IRYO,2025-01-02 09:57:00,2025-01-02 12:49:00,0 days 02:52:00,00009_02-01-2025-09.57,461.0,S-109,50.78,69.42
11,60000,71801,OUIGO,OUIGO,2025-01-02 10:02:00,2025-01-02 13:04:00,0 days 03:02:00,00011_02-01-2025-10.02,509.0,S-108,45.0,48.58
12,60000,71801,AVLO,AVLO,2025-01-02 10:27:00,2025-01-02 13:19:00,0 days 02:52:00,00012_02-01-2025-10.27,581.0,S-106,45.0,55.21
9,60000,71801,IRYO,IRYO,2025-01-02 11:22:00,2025-01-02 14:14:00,0 days 02:52:00,00009_02-01-2025-11.22,461.0,S-109,54.46,56.61
6,60000,71801,AVE,AVE,2025-01-02 11:27:00,2025-01-02 14:46:00,0 days 03:19:00,00006_02-01-2025-11.27,826.0,S-103,45.95,52.04
9,60000,71801,IRYO,IRYO,2025-01-02 12:22:00,2025-01-02 15:14:00,0 days 02:52:00,00009_02-01-2025-12.22,461.0,S-109,48.96,53.26
13,60000,71801,AVE,AVE,2025-01-02 12:27:00,2025-01-02 15:44:00,0 days 03:17:00,00013_02-01-2025-12.27,378.0,S-103,40.7,42.32
4,60000,71801,AVE,AVE,2025-01-02 12:57:00,2025-01-02 15:34:00,0 days 02:37:00,00004_02-01-2025-12.57,414.0,S-103,47.45,56.21
