train_idx,train_type,original_price,optimized_price,difference,predicted_demand,actual_demand,capacity
00021_23-08-2025-06.27,AVLO,32.31,52.14002757241787,19.83002757241787,581.5369492854101,581.0,581
00005_23-08-2025-07.02,OUIGO,49.1,46.883477621001646,-2.2165223789983557,481.38438819596007,481.38438819596007,509
00006_23-08-2025-07.27,AVE,73.17,63.29500018180808,-9.874999818191924,381.20064717971525,381.2006471797207,414
00009_23-08-2025-08.07,IRYO,25.87,44.41587772114679,18.54587772114679,438.77489255615643,438.77489255615643,461
00007_23-08-2025-08.27,AVE,66.46,63.295000181808156,-3.1649998181918377,378.77891065239544,378.77891065239544,414
00008_23-08-2025-08.57,AVE,50.87,49.964999957448974,-0.9050000425510234,742.8263519920188,742.8263519920232,836
00009_23-08-2025-09.22,IRYO,30.24,47.69472149189487,17.45472149189487,395.7281316454414,395.7281316454414,461
00010_23-08-2025-09.27,AVE,55.05,54.70499995324747,-0.34500004675252427,390.1663144457458,390.1663144457492,414
00009_23-08-2025-09.57,IRYO,52.86,46.201429497826155,-6.658570502173845,442.43261035674453,442.43261035674453,461
00011_23-08-2025-10.02,OUIGO,37.41,42.13108807017151,4.721088070171511,471.17897725027115,471.1789772502773,509
00012_23-08-2025-10.27,AVLO,44.76,57.469999999578846,12.709999999578848,570.2470698979697,570.2470698979715,581
00009_23-08-2025-11.22,IRYO,43.57,46.60297829140526,3.032978291405257,459.3942421535853,459.3942421535853,461
00006_23-08-2025-11.27,AVE,43.66,63.66,20.0,804.9246576417181,803.0,803
00009_23-08-2025-12.22,IRYO,34.39,44.90125968004278,10.511259680042777,451.9121125350205,451.9121125350205,461
00013_23-08-2025-12.27,AVE,58.17,76.01500015492826,17.845000154928258,390.7192109841586,378.0,378
00014_23-08-2025-13.18,AVE,82.74,102.74,20.0,291.7518818117991,291.75188181180386,339
00015_23-08-2025-14.12,OUIGO,20.8,24.970819582239073,4.170819582239073,511.78290848013717,509.0,509
00017_23-08-2025-14.42,IRYO,25.91,44.466024842052484,18.556024842052484,447.7764306670018,447.7764306670018,461
00018_23-08-2025-15.27,AVLO,25.32,43.47499970618798,18.15499970618798,526.7798222622729,526.779822262274,547
00007_23-08-2025-16.27,AVE,101.36,121.36,20.0,407.3193957217561,407.319395721762,414
00002_23-08-2025-16.37,IRYO,37.27,39.569273581269265,2.2992735812692615,469.8336720603678,461.0,461
00015_23-08-2025-17.17,OUIGO,15.79,26.2815887223836,10.4915887223836,463.09337704412206,463.0933770441242,509
00018_23-08-2025-17.27,AVLO,24.28,43.05499985706378,18.774999857063776,584.4318241801436,581.0,581
00016_23-08-2025-18.27,AVE,95.31,115.31,20.0,439.6470688574234,414.0,414
00009_23-08-2025-19.29,IRYO,46.97,43.313714139126205,-3.656285860873794,475.75305023076083,461.0,461
00019_23-08-2025-19.34,AVLO,38.15,57.69500005942279,19.54500005942279,549.073416833107,549.0734168331089,581
00009_23-08-2025-20.22,IRYO,26.51,41.176132772501475,14.666132772501474,441.4191682097576,441.4191682097527,461
00020_23-08-2025-20.27,AVE,10.0,29.75,19.75,422.7889232516637,414.0,414
00005_23-08-2025-21.02,OUIGO,12.56,28.98424253690466,16.424242536904657,457.8981749039673,457.89817490396564,509
