service_id,train_type,capacity,train_model,year,month,day_of_week,departure_time,duration,price,passengers,capacity_window_1h,time_distance_competitor_-2,price_competitor_-2,train_type_competitor_-2,duration_competitor_-2,time_distance_competitor_-1,price_competitor_-1,train_type_competitor_-1,duration_competitor_-1,time_distance_competitor_1,price_competitor_1,train_type_competitor_1,duration_competitor_1,time_distance_competitor_2,price_competitor_2,train_type_competitor_2,duration_competitor_2
00018_01-01-2025-15.27,AVLO,571,S-106,2025,1,2,15.45,199.0,33.63,571,571.0,-45.0,47.39,IRYO,179.0,-30.0,32.05,AVE,157.0,30.0,41.95,AVE,157.0,60.0,84.98,AVE,172.0
00004_01-01-2025-15.57,AVE,414,S-103,2025,1,2,15.95,157.0,41.95,414,414.0,-60.0,32.05,AVE,157.0,-30.0,33.63,AVLO,199.0,30.0,84.98,AVE,172.0,40.2,34.66,IRYO,157.0
00007_01-01-2025-16.27,AVE,414,S-103,2025,1,2,16.45,172.0,84.98,11,875.0,-60.0,33.63,AVLO,199.0,-30.0,41.95,AVE,157.0,10.2,34.66,IRYO,157.0,30.0,123.44,AVE,157.0
00002_01-01-2025-16.37,IRYO,461,S-109,2025,1,2,16.62,157.0,34.66,461,1289.0,-40.2,41.95,AVE,157.0,-10.2,84.98,AVE,172.0,19.8,123.44,AVE,157.0,39.6,52.99,OUIGO,157.0
00004_01-01-2025-16.57,AVE,414,S-103,2025,1,2,16.95,157.0,123.44,0,1845.0,-30.0,84.98,AVE,172.0,-19.8,34.66,IRYO,157.0,19.8,52.99,OUIGO,157.0,25.2,37.42,IRYO,172.0
00015_01-01-2025-17.17,OUIGO,509,S-108,2025,1,2,17.28,157.0,52.99,509,1798.0,-39.6,34.66,IRYO,157.0,-19.8,123.44,AVE,157.0,5.4,37.42,IRYO,172.0,10.2,67.92,AVE,199.0
00009_01-01-2025-17.22,IRYO,461,S-109,2025,1,2,17.37,172.0,37.42,461,1798.0,-25.2,123.44,AVE,157.0,-5.4,52.99,OUIGO,157.0,4.8,67.92,AVE,199.0,34.8,38.05,AVE,157.0
00006_01-01-2025-17.27,AVE,414,S-103,2025,1,2,17.45,199.0,67.92,39,1384.0,-10.2,52.99,OUIGO,157.0,-4.8,37.42,IRYO,172.0,30.0,38.05,AVE,157.0,60.0,64.88,AVE,177.0
00004_01-01-2025-17.57,AVE,414,S-103,2025,1,2,17.95,157.0,38.05,414,414.0,-34.8,37.42,IRYO,172.0,-30.0,67.92,AVE,199.0,30.0,64.88,AVE,177.0,34.8,54.72,IRYO,157.0
00016_01-01-2025-18.27,AVE,414,S-103,2025,1,2,18.45,177.0,64.88,79,875.0,-60.0,67.92,AVE,199.0,-30.0,38.05,AVE,157.0,4.8,54.72,IRYO,157.0,30.0,99.32,AVE,157.0
