train_idx,train_type,original_price,optimized_price,difference,predicted_demand,actual_demand,capacity
00021_22-03-2025-06.27,AVLO,24.41,26.440000156768903,2.030000156768903,414.60531565211284,414.6053156521153,581
00005_22-03-2025-07.02,OUIGO,39.26,39.26,0.0,68.14185563940853,68.1418556394081,509
00006_22-03-2025-07.27,AVE,73.51,80.70999965559997,7.199999655599967,36.84990192444498,36.84990192444516,414
00009_22-03-2025-08.07,IRYO,32.43,32.43,0.0,61.168096959976374,61.168096959976374,461
00007_22-03-2025-08.27,AVE,53.76,48.90499990774565,-4.85500009225435,241.9685875001424,241.9685875001449,414
00008_22-03-2025-08.57,AVE,42.38,33.1299999501975,-9.250000049802502,629.1917201493877,629.1917201493877,836
00009_22-03-2025-09.22,IRYO,52.26,52.26,0.0,11.35728917166781,11.35728917166781,461
00010_22-03-2025-09.27,AVE,69.28,62.92500002957662,-6.354999970423378,24.391136873053473,24.391136873053473,414
00009_22-03-2025-09.57,IRYO,48.85,48.85,0.0,4.3025564435692,4.302556443569242,461
00011_22-03-2025-10.02,OUIGO,40.13,40.13,0.0,28.445548781488156,28.445548781488156,509
00012_22-03-2025-10.27,AVLO,41.52,31.5849996028309,-9.935000397169102,119.57427632016669,119.5742763201682,581
00009_22-03-2025-11.22,IRYO,25.04,25.04,0.0,260.6429076681799,260.6429076681798,461
00006_22-03-2025-11.27,AVE,42.41,33.12499990203378,-9.285000097966218,566.9602646847909,566.9602646847895,803
00009_22-03-2025-12.22,IRYO,26.92,26.92,0.0,250.00169211075647,250.00169211075647,461
00013_22-03-2025-12.27,AVE,60.41,56.82000002495446,-3.5899999750455365,12.670449916676201,12.670449916676013,378
00014_22-03-2025-13.18,AVE,82.74,78.84499972342002,-3.895000276579978,18.22195812109575,18.22195812109575,339
00015_22-03-2025-14.12,OUIGO,31.15,31.15,0.0,143.28366267561006,143.28366267561006,509
00017_22-03-2025-14.42,IRYO,30.62,30.62,0.0,152.87566927395739,152.87566927395739,461
00018_22-03-2025-15.27,AVLO,27.76,28.575000226672348,0.8150002266723462,250.56922742337073,250.56922742337073,547
00007_22-03-2025-16.27,AVE,81.32,74.53000008925781,-6.789999910742182,60.5704045764852,60.57040457648563,414
00002_22-03-2025-16.37,IRYO,52.76,52.76,0.0,47.39263923782205,47.39263923782205,461
00015_22-03-2025-17.17,OUIGO,10.0,10.0,0.0,982.1927727899941,509.0,509
00018_22-03-2025-17.27,AVLO,24.91,26.399999730679486,1.4899997306794859,147.01820069330785,147.01820069330861,581
00016_22-03-2025-18.27,AVE,120.2,130.2,9.999999999999986,41.55899983932654,41.55899983932654,414
00009_22-03-2025-19.29,IRYO,33.89,33.89,0.0,10.822923254344898,10.822923254344898,461
00019_22-03-2025-19.34,AVLO,32.92,26.39000028923038,-6.529999710769623,39.968040282605216,39.96804028260597,581
00009_22-03-2025-20.22,IRYO,26.56,26.56,0.0,11.106968267079807,11.106968267079363,461
00020_22-03-2025-20.27,AVE,21.07,22.314999637515278,1.2449996375152779,256.6628230770553,256.6628230770553,414
00005_22-03-2025-21.02,OUIGO,16.76,16.76,0.0,172.03796128497473,172.03796128497362,509
